date,SMA
2012-01-27,37.472
2012-01-30,37.9525
2012-01-31,38.483
2012-02-01,38.9895
2012-02-02,39.4175
2012-02-03,39.9455
2012-02-06,40.4605
2012-02-07,40.988
2012-02-08,41.3755
2012-02-09,41.7345
2012-02-10,42.0275
2012-02-13,42.3825
2012-02-14,42.6535
2012-02-15,42.8
2012-02-16,42.9995
2012-02-17,43.2035
2012-02-21,43.381
2012-02-22,43.5475
2012-02-23,43.696
2012-02-24,43.889
2012-02-27,44.0395
2012-02-28,44.1185
2012-02-29,44.1225
2012-03-01,44.121
2012-03-02,44.1415
2012-03-05,43.9915
2012-03-06,43.718
2012-03-07,43.5045
2012-03-08,43.4055
2012-03-09,43.2835
2012-03-12,43.076
2012-03-13,42.8885
2012-03-14,42.756
2012-03-15,42.7135
2012-03-16,42.659
2012-03-19,42.587
2012-03-20,42.5865
2012-03-21,42.604
2012-03-22,42.525
2012-03-23,42.4435
2012-03-26,42.425
2012-03-27,42.3895
2012-03-28,42.3625
2012-03-29,42.3405
2012-03-30,42.3375
2012-04-02,42.476
2012-04-03,42.7035
2012-04-04,42.878
2012-04-05,42.9125
2012-04-09,42.929
2012-04-10,42.9465
2012-04-11,42.8945
2012-04-12,42.938
2012-04-13,43.006
2012-04-16,43.075
2012-04-17,43.1545
2012-04-18,43.204
2012-04-19,43.226
2012-04-20,43.3535
2012-04-23,43.415
2012-04-24,43.426
2012-04-25,43.5205
2012-04-26,43.665
2012-04-27,43.795
2012-04-30,43.7015
2012-05-01,43.616
2012-05-02,43.5815
2012-05-03,43.4395
2012-05-04,43.243
2012-05-07,43.081
2012-05-08,42.976
2012-05-09,42.92
2012-05-10,42.8015
2012-05-11,42.602
2012-05-14,42.354
2012-05-15,42.1345
2012-05-16,41.902
2012-05-17,41.5455
2012-05-18,41.1895
2012-05-21,40.952
2012-05-22,40.7105
2012-05-23,40.3995
2012-05-24,40.0715
2012-05-25,39.765
2012-05-29,39.7205
2012-05-30,39.545
2012-05-31,39.361
2012-06-01,39.1615
2012-06-04,39.0255
2012-06-05,38.94
2012-06-06,38.9195
2012-06-07,38.8145
2012-06-08,38.703
2012-06-11,38.552
2012-06-12,38.4775
2012-06-13,38.379
2012-06-14,38.298
2012-06-15,38.397
2012-06-18,38.5715
2012-06-19,38.6955
2012-06-20,38.8035
2012-06-21,38.8185
2012-06-22,38.851
2012-06-25,38.827
2012-06-26,38.759
2012-06-27,38.7365
2012-06-28,38.6945
2012-06-29,38.845
2012-07-02,39.0495
2012-07-03,39.2705
2012-07-05,39.464
2012-07-06,39.6215
2012-07-09,39.7505
2012-07-10,39.921
2012-07-11,40.0135
2012-07-12,40.106
2012-07-13,40.265
2012-07-16,40.3785
2012-07-17,40.4505
2012-07-18,40.4885
2012-07-19,40.5155
2012-07-20,40.6325
2012-07-23,40.703
2012-07-24,40.7685
2012-07-25,40.813
2012-07-26,40.913
2012-07-27,41.2075
2012-07-30,41.423
2012-07-31,41.607
2012-08-01,41.7215
2012-08-02,41.8265
2012-08-03,42.0375
2012-08-06,42.295
2012-08-07,42.607
2012-08-08,42.9835
2012-08-09,43.37
2012-08-10,43.695
2012-08-13,44.0025
2012-08-14,44.2815
2012-08-15,44.558
2012-08-16,44.886
2012-08-17,45.268
2012-08-20,45.7095
2012-08-21,46.141
2012-08-22,46.549
2012-08-23,46.8905
2012-08-24,47.06
2012-08-27,47.1875
2012-08-28,47.335
2012-08-29,47.488
2012-08-30,47.701
2012-08-31,47.8745
2012-09-04,47.927
2012-09-05,47.94
2012-09-06,48.0025
2012-09-07,48.108
2012-09-10,48.2105
2012-09-11,48.3125
2012-09-12,48.4155
2012-09-13,48.623
2012-09-14,48.868
2012-09-17,49.005
2012-09-18,49.109
2012-09-19,49.281
2012-09-20,49.478
2012-09-21,49.71
2012-09-24,49.917
2012-09-25,50.1005
2012-09-26,50.2745
2012-09-27,50.504
2012-09-28,50.6535
2012-10-01,50.8215
2012-10-02,51.1165
2012-10-03,51.385
2012-10-04,51.562
2012-10-05,51.723
2012-10-08,51.8755
2012-10-09,51.9665
2012-10-10,52.021
2012-10-11,51.9925
2012-10-12,51.8645
2012-10-15,51.8365
2012-10-16,51.9575
2012-10-17,52.1195
2012-10-18,52.255
2012-10-19,52.353
2012-10-22,52.5245
2012-10-23,52.636
2012-10-24,52.7795
2012-10-25,52.8555
2012-10-26,52.96
2012-10-31,53.0195
2012-11-01,53.1265
2012-11-02,53.1625
2012-11-05,53.233
2012-11-06,53.29
2012-11-07,53.31
2012-11-08,53.345
2012-11-09,53.3525
2012-11-12,53.3175
2012-11-13,53.2775
2012-11-14,53.167
2012-11-15,52.7195
2012-11-16,52.276
2012-11-19,51.9145
2012-11-20,51.5755
2012-11-21,51.2015
2012-11-23,50.981
2012-11-26,50.6895
2012-11-27,50.397
2012-11-28,50.113
2012-11-29,49.8805
2012-11-30,49.6145
2012-12-03,49.4055
2012-12-04,49.223
2012-12-05,49.1245
2012-12-06,49.0805
2012-12-07,49.175
2012-12-10,49.351
2012-12-11,49.521
2012-12-12,49.719
2012-12-13,49.9075
2012-12-14,50.3265
2012-12-17,50.7205
2012-12-18,51.0655
2012-12-19,51.4305
2012-12-20,51.809
2012-12-21,52.135
2012-12-24,52.528
2012-12-26,52.975
2012-12-27,53.391
2012-12-28,53.7295
2012-12-31,54.0975
2013-01-02,54.612
2013-01-03,55.006
2013-01-04,55.334
2013-01-07,55.696
2013-01-08,55.9925
2013-01-09,56.254
2013-01-10,56.582
2013-01-11,56.9265
2013-01-14,57.3375
2013-01-15,57.715
