date,ULTOSC
2012-03-26,62.4198
2012-03-27,54.339
2012-03-28,49.6703
2012-03-29,53.7835
2012-03-30,53.9604
2012-04-02,61.1707
2012-04-03,55.0285
2012-04-04,55.03
2012-04-05,53.4697
2012-04-09,53.6148
2012-04-10,42.7489
2012-04-11,38.5409
2012-04-12,42.8834
2012-04-13,48.3036
2012-04-16,46.8032
2012-04-17,48.805
2012-04-18,51.4947
2012-04-19,53.4086
2012-04-20,55.1551
2012-04-23,51.5001
2012-04-24,52.2309
2012-04-25,54.286
2012-04-26,63.5678
2012-04-27,64.4371
2012-04-30,49.2774
2012-05-01,50.8321
2012-05-02,51.195
2012-05-03,42.8239
2012-05-04,36.0135
2012-05-07,31.6447
2012-05-08,34.5569
2012-05-09,43.8404
2012-05-10,43.8683
2012-05-11,39.8151
2012-05-14,42.764
2012-05-15,46.9928
2012-05-16,44.9926
2012-05-17,35.6745
2012-05-18,31.8482
2012-05-21,38.8965
2012-05-22,38.5964
2012-05-23,43.2578
2012-05-24,43.8643
2012-05-25,48.5955
2012-05-29,59.1775
2012-05-30,56.0441
2012-05-31,54.491
2012-06-01,47.5104
2012-06-04,46.3608
2012-06-05,51.0722
2012-06-06,51.4833
2012-06-07,44.1875
2012-06-08,51.3237
2012-06-11,42.6659
2012-06-12,48.8519
2012-06-13,47.6154
2012-06-14,44.9066
2012-06-15,47.6961
2012-06-18,59.2158
2012-06-19,58.6857
2012-06-20,63.3827
2012-06-21,53.8439
2012-06-22,56.6131
2012-06-25,55.6127
2012-06-26,53.7995
2012-06-27,48.6363
2012-06-28,47.9103
2012-06-29,55.4384
2012-07-02,60.3374
2012-07-03,61.5591
2012-07-05,63.2557
2012-07-06,57.956
2012-07-09,54.1504
2012-07-10,49.7478
2012-07-11,43.556
2012-07-12,50.1604
2012-07-13,49.2846
2012-07-16,50.1161
2012-07-17,55.8954
2012-07-18,60.8885
2012-07-19,60.6619
2012-07-20,64.5668
2012-07-23,63.8946
2012-07-24,60.5556
2012-07-25,58.1352
2012-07-26,55.143
2012-07-27,63.7799
2012-07-30,65.5109
2012-07-31,63.8169
2012-08-01,61.9911
2012-08-02,64.9998
2012-08-03,65.7231
2012-08-06,64.5108
2012-08-07,58.1792
2012-08-08,62.7032
2012-08-09,65.2414
2012-08-10,68.6829
2012-08-13,68.9912
2012-08-14,65.9519
2012-08-15,70.192
2012-08-16,70.0101
2012-08-17,71.5816
2012-08-20,73.4695
2012-08-21,66.1537
2012-08-22,64.5731
2012-08-23,63.1378
2012-08-24,60.5835
2012-08-27,57.6553
2012-08-28,55.5414
2012-08-29,53.1566
2012-08-30,59.2753
2012-08-31,58.1782
2012-09-04,51.9177
2012-09-05,51.0663
2012-09-06,51.944
2012-09-07,53.5821
2012-09-10,50.0723
2012-09-11,44.9449
2012-09-12,47.9024
2012-09-13,60.2078
2012-09-14,64.2388
2012-09-17,58.8048
2012-09-18,58.1102
2012-09-19,56.8852
2012-09-20,63.2745
2012-09-21,59.236
2012-09-24,54.8829
2012-09-25,45.2822
2012-09-26,50.3996
2012-09-27,50.9691
2012-09-28,54.8138
